11;65;[(10, 21, 11, 0), (20, 9, 21, 10), (11, 9, 12, 8), (7, 13, 8, 12), (13, 7, 14, 6), (5, 15, 6, 14), (15, 5, 16, 4), (3, 17, 4, 16), (17, 3, 18, 2), (1, 19, 2, 18), (19, 1, 20, 0)]
11;66;[(13, 2, 14, 3), (12, 2, 13, 1), (11, 14, 12, 15), (15, 10, 16, 11), (9, 16, 10, 17), (17, 8, 18, 9), (7, 18, 8, 19), (19, 6, 20, 7), (5, 20, 6, 21), (21, 4, 0, 5), (3, 0, 4, 1)]
11;67;[(10, 21, 11, 0), (9, 21, 10, 20), (11, 9, 12, 8), (7, 13, 8, 12), (13, 7, 14, 6), (5, 15, 6, 14), (15, 5, 16, 4), (3, 17, 4, 16), (17, 3, 18, 2), (1, 19, 2, 18), (19, 1, 20, 0)]
11;68;[(2, 14, 3, 13), (1, 12, 2, 13), (11, 14, 12, 15), (15, 10, 16, 11), (9, 16, 10, 17), (17, 8, 18, 9), (7, 18, 8, 19), (19, 6, 20, 7), (5, 20, 6, 21), (21, 4, 0, 5), (3, 0, 4, 1)]
11;69;[(21, 11, 0, 10), (20, 9, 21, 10), (11, 9, 12, 8), (7, 13, 8, 12), (13, 7, 14, 6), (5, 15, 6, 14), (15, 5, 16, 4), (3, 17, 4, 16), (17, 3, 18, 2), (1, 19, 2, 18), (19, 1, 20, 0)]
11;70;[(2, 14, 3, 13), (12, 2, 13, 1), (11, 14, 12, 15), (15, 10, 16, 11), (9, 16, 10, 17), (17, 8, 18, 9), (7, 18, 8, 19), (19, 6, 20, 7), (5, 20, 6, 21), (21, 4, 0, 5), (3, 0, 4, 1)]
11;71;[(21, 11, 0, 10), (9, 21, 10, 20), (11, 9, 12, 8), (7, 13, 8, 12), (13, 7, 14, 6), (5, 15, 6, 14), (15, 5, 16, 4), (3, 17, 4, 16), (17, 3, 18, 2), (1, 19, 2, 18), (19, 1, 20, 0)]
12;72;[(13, 3, 14, 2), (1, 15, 2, 14), (15, 12, 16, 13), (11, 16, 12, 17), (17, 10, 18, 11), (9, 18, 10, 19), (19, 8, 20, 9), (7, 20, 8, 21), (21, 6, 22, 7), (5, 22, 6, 23), (23, 4, 0, 5), (3, 0, 4, 1)]
12;73;[(10, 0, 11, 23), (22, 12, 23, 11), (9, 13, 10, 12), (13, 9, 14, 8), (7, 15, 8, 14), (15, 7, 16, 6), (5, 17, 6, 16), (17, 5, 18, 4), (3, 19, 4, 18), (19, 3, 20, 2), (1, 21, 2, 20), (21, 1, 22, 0)]
12;74;[(13, 3, 14, 2), (14, 1, 15, 2), (15, 12, 16, 13), (11, 16, 12, 17), (17, 10, 18, 11), (9, 18, 10, 19), (19, 8, 20, 9), (7, 20, 8, 21), (21, 6, 22, 7), (5, 22, 6, 23), (23, 4, 0, 5), (3, 0, 4, 1)]
12;75;[(10, 0, 11, 23), (11, 22, 12, 23), (9, 13, 10, 12), (13, 9, 14, 8), (7, 15, 8, 14), (15, 7, 16, 6), (5, 17, 6, 16), (17, 5, 18, 4), (3, 19, 4, 18), (19, 3, 20, 2), (1, 21, 2, 20), (21, 1, 22, 0)]
12;76;[(2, 13, 3, 14), (1, 15, 2, 14), (15, 12, 16, 13), (11, 16, 12, 17), (17, 10, 18, 11), (9, 18, 10, 19), (19, 8, 20, 9), (7, 20, 8, 21), (21, 6, 22, 7), (5, 22, 6, 23), (23, 4, 0, 5), (3, 0, 4, 1)]
12;77;[(23, 10, 0, 11), (22, 12, 23, 11), (9, 13, 10, 12), (13, 9, 14, 8), (7, 15, 8, 14), (15, 7, 16, 6), (5, 17, 6, 16), (17, 5, 18, 4), (3, 19, 4, 18), (19, 3, 20, 2), (1, 21, 2, 20), (21, 1, 22, 0)]
12;78;[(2, 13, 3, 14), (14, 1, 15, 2), (15, 12, 16, 13), (11, 16, 12, 17), (17, 10, 18, 11), (9, 18, 10, 19), (19, 8, 20, 9), (7, 20, 8, 21), (21, 6, 22, 7), (5, 22, 6, 23), (23, 4, 0, 5), (3, 0, 4, 1)]
12;79;[(23, 10, 0, 11), (11, 22, 12, 23), (9, 13, 10, 12), (13, 9, 14, 8), (7, 15, 8, 14), (15, 7, 16, 6), (5, 17, 6, 16), (17, 5, 18, 4), (3, 19, 4, 18), (19, 3, 20, 2), (1, 21, 2, 20), (21, 1, 22, 0)]
13;80;[(15, 2, 16, 3), (1, 14, 2, 15), (13, 16, 14, 17), (17, 12, 18, 13), (11, 18, 12, 19), (19, 10, 20, 11), (9, 20, 10, 21), (21, 8, 22, 9), (7, 22, 8, 23), (23, 6, 24, 7), (5, 24, 6, 25), (25, 4, 0, 5), (3, 0, 4, 1)]
13;81;[(12, 25, 13, 0), (24, 11, 25, 12), (13, 11, 14, 10), (9, 15, 10, 14), (15, 9, 16, 8), (7, 17, 8, 16), (17, 7, 18, 6), (5, 19, 6, 18), (19, 5, 20, 4), (3, 21, 4, 20), (21, 3, 22, 2), (1, 23, 2, 22), (23, 1, 24, 0)]
13;82;[(15, 2, 16, 3), (14, 2, 15, 1), (13, 16, 14, 17), (17, 12, 18, 13), (11, 18, 12, 19), (19, 10, 20, 11), (9, 20, 10, 21), (21, 8, 22, 9), (7, 22, 8, 23), (23, 6, 24, 7), (5, 24, 6, 25), (25, 4, 0, 5), (3, 0, 4, 1)]
13;83;[(12, 25, 13, 0), (11, 25, 12, 24), (13, 11, 14, 10), (9, 15, 10, 14), (15, 9, 16, 8), (7, 17, 8, 16), (17, 7, 18, 6), (5, 19, 6, 18), (19, 5, 20, 4), (3, 21, 4, 20), (21, 3, 22, 2), (1, 23, 2, 22), (23, 1, 24, 0)]
13;84;[(2, 16, 3, 15), (1, 14, 2, 15), (13, 16, 14, 17), (17, 12, 18, 13), (11, 18, 12, 19), (19, 10, 20, 11), (9, 20, 10, 21), (21, 8, 22, 9), (7, 22, 8, 23), (23, 6, 24, 7), (5, 24, 6, 25), (25, 4, 0, 5), (3, 0, 4, 1)]
13;85;[(25, 13, 0, 12), (24, 11, 25, 12), (13, 11, 14, 10), (9, 15, 10, 14), (15, 9, 16, 8), (7, 17, 8, 16), (17, 7, 18, 6), (5, 19, 6, 18), (19, 5, 20, 4), (3, 21, 4, 20), (21, 3, 22, 2), (1, 23, 2, 22), (23, 1, 24, 0)]
13;86;[(2, 16, 3, 15), (14, 2, 15, 1), (13, 16, 14, 17), (17, 12, 18, 13), (11, 18, 12, 19), (19, 10, 20, 11), (9, 20, 10, 21), (21, 8, 22, 9), (7, 22, 8, 23), (23, 6, 24, 7), (5, 24, 6, 25), (25, 4, 0, 5), (3, 0, 4, 1)]
13;87;[(25, 13, 0, 12), (11, 25, 12, 24), (13, 11, 14, 10), (9, 15, 10, 14), (15, 9, 16, 8), (7, 17, 8, 16), (17, 7, 18, 6), (5, 19, 6, 18), (19, 5, 20, 4), (3, 21, 4, 20), (21, 3, 22, 2), (1, 23, 2, 22), (23, 1, 24, 0)]
14;88;[(15, 3, 16, 2), (1, 17, 2, 16), (17, 14, 18, 15), (13, 18, 14, 19), (19, 12, 20, 13), (11, 20, 12, 21), (21, 10, 22, 11), (9, 22, 10, 23), (23, 8, 24, 9), (7, 24, 8, 25), (25, 6, 26, 7), (5, 26, 6, 27), (27, 4, 0, 5), (3, 0, 4, 1)]
14;89;[(12, 0, 13, 27), (26, 14, 27, 13), (11, 15, 12, 14), (15, 11, 16, 10), (9, 17, 10, 16), (17, 9, 18, 8), (7, 19, 8, 18), (19, 7, 20, 6), (5, 21, 6, 20), (21, 5, 22, 4), (3, 23, 4, 22), (23, 3, 24, 2), (1, 25, 2, 24), (25, 1, 26, 0)]
14;90;[(15, 3, 16, 2), (16, 1, 17, 2), (17, 14, 18, 15), (13, 18, 14, 19), (19, 12, 20, 13), (11, 20, 12, 21), (21, 10, 22, 11), (9, 22, 10, 23), (23, 8, 24, 9), (7, 24, 8, 25), (25, 6, 26, 7), (5, 26, 6, 27), (27, 4, 0, 5), (3, 0, 4, 1)]
14;91;[(12, 0, 13, 27), (13, 26, 14, 27), (11, 15, 12, 14), (15, 11, 16, 10), (9, 17, 10, 16), (17, 9, 18, 8), (7, 19, 8, 18), (19, 7, 20, 6), (5, 21, 6, 20), (21, 5, 22, 4), (3, 23, 4, 22), (23, 3, 24, 2), (1, 25, 2, 24), (25, 1, 26, 0)]
